TIME,THERMOMETER_EXTERNAL,THERMOMETER23,HEATER23,SETPOINT23,THERMOMETER41,HEATER41,SETPOINT41,THERMOMETER31,HEATER31,SETPOINT31,THERMOMETER21,HEATER21,SETPOINT21,THERMOMETER11,HEATER11,SETPOINT11,THERMOMETER42,HEATER42,SETPOINT42,THERMOMETER32,HEATER32,SETPOINT32,THERMOMETER22,HEATER22,SETPOINT22,THERMOMETER12,HEATER12,SETPOINT12,THERMOMETER43,HEATER43,SETPOINT43,THERMOMETER33,HEATER33,SETPOINT33,THERMOMETER13,HEATER13,SETPOINT13,THERMOMETER44,HEATER44,SETPOINT44,THERMOMETER34,HEATER34,SETPOINT34,THERMOMETER24,HEATER24,SETPOINT24,THERMOMETER14,HEATER14,SETPOINT14
230,7.287071,14.67276,10,18.0,14.265691,10,16.0,12.771558,10,20.0,14.312866,10,20.0,12.277896,10,20.0,14.604739,10,20.0,13.521353,10,20.0,14.802203,10,20.0,13.086238,10,20.0,14.60474,10,20.0,13.521341,10,20.0,13.086234,10,20.0,14.265691,10,20.0,12.771558,10,20.0,14.31285,10,20.0,12.277897,10,20.0
240,7.287071,14.67276,10,18.0,14.265691,10,16.0,12.771558,10,20.0,14.312866,10,20.0,12.277896,10,20.0,14.604739,10,20.0,13.521353,10,20.0,14.802203,10,20.0,13.086238,10,20.0,14.60474,10,20.0,13.521341,10,20.0,13.086234,10,20.0,14.265691,10,20.0,12.771558,10,20.0,14.31285,10,20.0,12.277897,10,20.0
250,7.287071,14.67276,10,18.0,14.265691,10,16.0,12.771558,10,20.0,14.312866,10,20.0,12.277896,10,20.0,14.604739,10,20.0,13.521353,10,20.0,14.802203,10,20.0,13.086238,10,20.0,14.60474,10,20.0,13.521341,10,20.0,13.086234,10,20.0,14.265691,10,20.0,12.771558,10,20.0,14.31285,10,20.0,12.277897,10,20.0
260,7.287071,14.67276,10,18.0,14.265691,10,16.0,12.771558,10,20.0,14.312866,10,20.0,12.277896,10,20.0,14.604739,10,20.0,13.521353,10,20.0,14.802203,10,20.0,13.086238,10,20.0,14.60474,10,20.0,13.521341,10,20.0,13.086234,10,20.0,14.265691,10,20.0,12.771558,10,20.0,14.31285,10,20.0,12.277897,10,20.0
270,7.287071,14.67276,10,18.0,14.265691,10,16.0,12.771558,10,20.0,14.312866,10,20.0,12.277896,10,20.0,14.604739,10,20.0,13.521353,10,20.0,14.802203,10,20.0,13.086238,10,20.0,14.60474,10,20.0,13.521341,10,20.0,13.086234,10,20.0,14.265691,10,20.0,12.771558,10,20.0,14.31285,10,20.0,12.277897,10,20.0
280,7.287071,14.67276,10,18.0,14.265691,10,16.0,12.771558,10,20.0,14.312866,10,20.0,12.277896,10,20.0,14.604739,10,20.0,13.521353,10,20.0,14.802203,10,20.0,13.086238,10,20.0,14.60474,10,20.0,13.521341,10,20.0,13.086234,10,20.0,14.265691,10,20.0,12.771558,10,20.0,14.31285,10,20.0,12.277897,10,20.0
290,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
300,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
310,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
320,8.518623,15.690982,10,18.0,15.327268,10,16.0,14.549123,10,20.0,15.401715,10,20.0,14.018081,10,20.0,15.60478,10,20.0,15.289532,10,20.0,15.889507,10,20.0,14.949844,10,20.0,15.60478,10,20.0,15.289471,10,20.0,14.949839,10,20.0,15.327267,10,20.0,14.549124,10,20.0,15.401665,10,20.0,14.01808,10,20.0
